author,title,genre,description,year,country,cover
Милорад Павич,"Хазарский словарь: роман-лексикон в 100000 слов",магический реализм,"Сюжета в общепринятом понимании этого слова нет, три книги словаря — сборники записей о персонажах и событиях, которые упоминаются по всему роману, но в разных книгах рассказаны историями с разными подробностями. Благодаря такому формату, роман можно читать не обязательно от начала до конца, но в произвольном порядке, собирая по отдельным статьям словаря мозаику истории главной темы. Центральная тема — дискуссия о выборе религии среди хазар, основывается на реальном историческом событии, которое обычно относят к концу VIII — началу IX столетий. В то время хазарская знать и часть населения обратились в иудаизм. Большинство персонажей и событий в книге вымышлены, как и приписываемая хазарам культура — она мало соответствует имеющимся археологическим свидетельствам. Автор создаёт новую мифологию, переплетая фантазию, реальные и вымышленные народные и религиозные предания, идеи каббалы («Запись об Адаме Кадмоне»).","1984",Сербия,"https://cv9.litres.ru/pub/c/cover_max1500/127697.jpg"
Милорад Павич,"Хазарский словарь: роман-лексикон в 100000 слов",фантастика,"Сюжета в общепринятом понимании этого слова нет, три книги словаря — сборники записей о персонажах и событиях, которые упоминаются по всему роману, но в разных книгах рассказаны историями с разными подробностями. Благодаря такому формату, роман можно читать не обязательно от начала до конца, но в произвольном порядке, собирая по отдельным статьям словаря мозаику истории главной темы. Центральная тема — дискуссия о выборе религии среди хазар, основывается на реальном историческом событии, которое обычно относят к концу VIII — началу IX столетий. В то время хазарская знать и часть населения обратились в иудаизм. Большинство персонажей и событий в книге вымышлены, как и приписываемая хазарам культура — она мало соответствует имеющимся археологическим свидетельствам. Автор создаёт новую мифологию, переплетая фантазию, реальные и вымышленные народные и религиозные предания, идеи каббалы («Запись об Адаме Кадмоне»).","1984",Сербия,"https://cv9.litres.ru/pub/c/cover_max1500/127697.jpg"
Милорад Павич,"Звёздная мантия: роман-гороскоп",психология,"«Звёздная мантия» - это астрологиечский справочник для непосвящённых, построенный как антигороскоп и антисонник. Автор погружает читателей в тайны задиакальных созвездий и удивительных снов наяву, переворачивая все каноны классической линейной литературы. Читатель может прочитать только то, что касается его собственного знака или знаков людей, которые его заинтересовали, а может читать всё подряд. Так каждый внесёт в книгу что-то из собственной жизни или из жизни своего окружения.","2008",Сербия,"https://img3.labirint.ru/rc/f8e70e4b5ad7ad08e5180c25ad3cbf1e/363x561q80/books24/234621/cover.jpg?1280394613"
Милорад Павич,"Звёздная мантия: роман-гороскоп",магический реализм,"«Звёздная мантия» - это астрологиечский справочник для непосвящённых, построенный как антигороскоп и антисонник. Автор погружает читателей в тайны задиакальных созвездий и удивительных снов наяву, переворачивая все каноны классической линейной литературы. Читатель может прочитать только то, что касается его собственного знака или знаков людей, которые его заинтересовали, а может читать всё подряд. Так каждый внесёт в книгу что-то из собственной жизни или из жизни своего окружения.","2008",Сербия,"https://img3.labirint.ru/rc/f8e70e4b5ad7ad08e5180c25ad3cbf1e/363x561q80/books24/234621/cover.jpg?1280394613"
Милорад Павич,"Последняя любовь в Константинополе",магический реализм,"«Последняя любовь в Константинополе: Пособие по гаданию» – это роман-таро, где автор прослеживает судьбы двух сербских родов, своеобразных балканских Монтекки и Капулетти времен Наполеоновской империи. Выстраивая мистическо-трагические арканы, М. Павич втягивает в процесс гадания и читателя, предлагая ему разложить перед собой карты и главы романа и предсказать собственную судьбу.","1994",Сербия,"https://coollib.net/i/58/314958/cover.jpg"
Милорад Павич,"Ящик для письменных принадлежностей",магический реализм,"Герои замкнутого в ящик для письменных принадлежностей романа размышляют о природе пространства и времени и о забытых именах любви. А Милорад Павич превращает изучение этого старинного предмета в путешествие по космосу человеческой души и тела.","2001",Сербия,"https://img3.labirint.ru/rc/ac654b456738a2c6bd05462b70fa8854/363x561q80/books24/237649/cover.jpg?1280394613"
Милорад Павич,"Ящик для письменных принадлежностей",любовный роман,"Герои замкнутого в ящик для письменных принадлежностей романа размышляют о природе пространства и времени и о забытых именах любви. А Милорад Павич превращает изучение этого старинного предмета в путешествие по космосу человеческой души и тела.","2001",Сербия,"https://img3.labirint.ru/rc/ac654b456738a2c6bd05462b70fa8854/363x561q80/books24/237649/cover.jpg?1280394613"
Бернхард Шлинк,"Чтец",любовный роман,"Роман описывает разрыв между поколениями в Германии, осмысление молодыми немцами преступлений периода Холокоста. Главные герои — Михаэль Берг и Ханна Шмиц. Внезапно вспыхнувший роман между пятнадцатилетним подростком, мальчиком из профессорской семьи, и зрелой женщиной так же внезапно оборвался, когда она без предупреждения исчезла из города. Через восемь лет он, теперь уже студент выпускного курса юридического факультета, снова увидел ее - среди бывших надзирательниц женского концлагеря на процессе против нацистских преступников.","1995",Германия,"https://img4.labirint.ru/rc/8c99f7fe9f0b0cb68dc632b5b111321a/363x561q80/books92/917792/cover.jpg?1682436380"
Бернхард Шлинк,"Чтец",психология,"Роман описывает разрыв между поколениями в Германии, осмысление молодыми немцами преступлений периода Холокоста. Главные герои — Михаэль Берг и Ханна Шмиц. Внезапно вспыхнувший роман между пятнадцатилетним подростком, мальчиком из профессорской семьи, и зрелой женщиной так же внезапно оборвался, когда она без предупреждения исчезла из города. Через восемь лет он, теперь уже студент выпускного курса юридического факультета, снова увидел ее - среди бывших надзирательниц женского концлагеря на процессе против нацистских преступников.","1995",Германия,"https://img4.labirint.ru/rc/8c99f7fe9f0b0cb68dc632b5b111321a/363x561q80/books92/917792/cover.jpg?1682436380"
Маркус Зузак,"Книжный вор",история,"Действие происходит в нацистской Германии начиная с января 1939 года. Повествование ведётся от лица Ангела Смерти. Главная героиня романа — девятилетняя Лизель Мемингер, становящаяся старше по мере развития сюжета. У Лизель нелёгкая судьба: её отец, неизвестным образом связанный с коммунистами, без вести пропал, а мать, не в силах ухаживать за девочкой и её братом, решает отдать детей на воспитание приёмным родителям, тем самым надеясь спасти их от преследования нацистскими властями. Детство Лизель пронизано событиями Второй мировой войны. В сюжете романа отражается всё: идеи нацизма, гонения на евреев, разделение немецкого народа на два лагеря — тех, кто за идеологию Гитлера, и тех, кто против неё.","2005",Австралия,"https://cv2.litres.ru/pub/c/cover_max1500/9308621.jpg"
